date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,quality,importance,total_rating
11/13/2013,2014,0,,DEN,LAL,1573.6296,1479.3883,0.753644063,0.246355937,1578.5918,1474.4261,,,,,,,,,,,111,99,57,,
11/13/2013,2014,0,,UTA,NOP,1442.0969,1427.266,0.659489434,0.340510566,1446.92,1422.4429,,,,,,,,,,,111,105,19,,
11/13/2013,2014,0,,SAC,BRK,1399.4108,1515.5009,0.476861025,0.523138975,1417.3739,1497.5377,,,,,,,,,,,107,86,26,,
11/13/2013,2014,0,,LAC,OKC,1602.3845,1639.2466,0.589875559,0.410124441,1609.4738,1632.1573,,,,,,,,,,,111,103,92,,
11/13/2013,2014,0,,MEM,TOR,1579.936,1487.053,0.752189473,0.247810527,1554.9276,1512.0614,,,,,,,,,,,87,103,61,,
11/13/2013,2014,0,,MIN,CLE,1522.7417,1364.2911,0.81574201,0.18425799,1529.2563,1357.7765,,,,,,,,,,,124,95,20,,
11/13/2013,2014,0,,POR,PHO,1475.8209,1433.7383,0.69378894,0.30621106,1478.0436,1431.5156,,,,,,,,,,,90,89,26,,
11/13/2013,2014,0,,PHI,HOU,1439.5999,1561.0818,0.469124396,0.530875604,1447.9536,1552.728,,,,,,,,,,,123,117,45,,
11/13/2013,2014,0,,ATL,NYK,1500.7726,1531.9747,0.597734065,0.402265935,1492.7716,1539.9757,,,,,,,,,,,91,95,54,,
11/13/2013,2014,0,,SAS,WAS,1700.7535,1458.5958,0.877570082,0.122429918,1703.109,1456.2404,,,,,,,,,,,92,79,77,,
11/13/2013,2014,0,,ORL,MIL,1352.2711,1435.2303,0.524504036,0.475495964,1357.5162,1429.9852,,,,,,,,,,,94,91,8,,
11/14/2013,2014,0,,GSW,OKC,1592.1478,1632.1573,0.585485407,0.414514593,1595.3452,1628.96,,,,,,,,,,,116,115,90,,
11/14/2013,2014,0,,NYK,HOU,1539.9757,1552.728,0.622985157,0.377014843,1532.4873,1560.2164,,,,,,,,,,,106,109,67,,
11/15/2013,2014,0,,TOR,CHI,1512.0614,1524.3734,0.623580277,0.376419723,1493.2053,1543.2295,,,,,,,,,,,80,96,54,,
11/15/2013,2014,0,,LAL,MEM,1474.4261,1554.9276,0.528031174,0.471968826,1468.4286,1560.9252,,,,,,,,,,,86,89,52,,
11/15/2013,2014,0,,SAC,DET,1417.3739,1401.4332,0.660922596,0.339077404,1405.1166,1413.6906,,,,,,,,,,,90,97,11,,
11/15/2013,2014,0,,ATL,PHI,1492.7716,1447.9536,0.697123916,0.302876084,1498.4052,1442.3201,,,,,,,,,,,113,103,32,,
11/15/2013,2014,0,,DEN,MIN,1578.5918,1529.2563,0.702586321,0.297413679,1581.9523,1525.8959,,,,,,,,,,,117,113,71,,
11/15/2013,2014,0,,BOS,POR,1467.7186,1478.0436,0.626261298,0.373738702,1451.1857,1494.5765,,,,,,,,,,,96,109,34,,
